annotation_id,annotator,choice,created_at,id,image,lead_time,ptz,updated_at,timestamp
31490,9,,2025-10-15T16:26:55.240265Z,1036838,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/07/1756710008.000000000.jpg,30.403,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-15T16:26:55.240273Z,1756710008
31495,9,Abnormal,2025-10-15T16:27:16.519294Z,1036843,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/12/1756728076.000000000.jpg,1.296,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-15T16:27:16.519303Z,1756728076
31667,8,Abnormal,2025-10-17T23:57:47.983581Z,1036848,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/17/1756746119.000000000.jpg,3.563,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-17T23:57:47.983596Z,1756746119
31672,8,Abnormal,2025-10-17T23:58:05.770941Z,1036853,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/244/22/1756764159.000000000.jpg,3.637,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-17T23:58:05.770957Z,1756764159
31677,8,Abnormal,2025-10-17T23:58:22.115614Z,1036858,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/245/03/1756782233.000000000.jpg,3.573,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-17T23:58:22.115630Z,1756782233
31682,11,Abnormal,2025-10-19T03:17:54.648159Z,1036863,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/245/08/1756800038.000000000.jpg,1.696,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-19T03:17:54.648178Z,1756800038
31687,11,Abnormal,2025-10-19T03:18:06.858752Z,1036868,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/245/13/1756818097.000000000.jpg,2.009,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-19T03:18:06.858761Z,1756818097
31692,11,,2025-10-19T03:18:30.801395Z,1036873,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/245/18/1756836171.000000000.jpg,1.784,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-19T03:18:30.801420Z,1756836171
31697,11,,2025-10-19T03:18:51.476423Z,1036878,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/245/23/1756854245.000000000.jpg,3.901,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-19T03:18:51.476432Z,1756854245
31702,11,,2025-10-19T03:19:07.273008Z,1036883,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/246/04/1756872325.000000000.jpg,1.504,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-19T03:19:07.273017Z,1756872325
31707,11,Abnormal,2025-10-19T03:19:20.063062Z,1036888,https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2025/246/09/1756890178.000000000.jpg,18.673,"{""pan"":174.07000732421875,""tilt"":-0.17000000178813934,""zoom"":1.0}",2025-10-20T20:44:58.347417Z,1756890178
