"annotation_id","annotator","choice","created_at","id","image","lead_time","ptz","updated_at"
41075,"8","Abnormal","2026-01-09T21:33:41.907530Z",1044329,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/205/10/1753351277.000000000.jpg",1.277,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:33:41.907538Z"
43384,"9","","2026-01-11T05:18:17.026060Z",1044331,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/205/12/1753358528.000000000.jpg",1.935,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-11T05:18:17.026075Z"
41139,"8","Abnormal","2026-01-09T21:36:28.724965Z",1044332,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/205/13/1753362137.000000000.jpg",1.132,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:36:28.724976Z"
43101,"10","Abnormal","2026-01-10T23:18:04.247982Z",1044339,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/205/20/1753387422.000000000.jpg",1.168,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:18:04.247991Z"
41019,"8","Abnormal","2026-01-09T21:30:49.468699Z",1044386,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/193/19/1752346994.000000000.jpg",1.208,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:30:49.468707Z"
43421,"9","Abnormal","2026-01-11T05:20:11.972506Z",1044391,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/194/00/1752365044.000000000.jpg",1.631,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-11T05:20:11.972517Z"
42071,"9","Abnormal","2026-01-10T01:09:54.071648Z",1044404,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/194/13/1752411701.000000000.jpg",1.293,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T01:09:54.071657Z"
43604,"9","Abnormal","2026-01-11T05:29:29.829013Z",1044405,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/194/14/1752415301.000000000.jpg",1.227,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-11T05:29:29.829029Z"
41475,"8","Abnormal","2026-01-09T21:50:10.219355Z",1044408,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/194/17/1752426157.000000000.jpg",1.39,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:50:10.219365Z"
41009,"8","Abnormal","2026-01-09T21:30:23.353300Z",1044414,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/194/23/1752447834.000000000.jpg",1.492,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:30:23.353309Z"
43008,"10","Abnormal","2026-01-10T23:15:20.696580Z",1044415,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/195/00/1752451444.000000000.jpg",1.263,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:15:20.696602Z"
43134,"10","Abnormal","2026-01-10T23:20:29.984145Z",1044424,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/206/09/1753434058.000000000.jpg",3.221,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:20:29.984170Z"
41124,"8","Abnormal","2026-01-09T21:35:52.727149Z",1044425,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/206/10/1753437665.000000000.jpg",5.942,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:35:52.727167Z"
43139,"10","","2026-01-10T23:20:39.885008Z",1044433,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/182/11/1751367658.000000000.jpg",1.398,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:20:39.885016Z"
41279,"8","","2026-01-09T21:40:19.521967Z",1044440,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/182/18/1751392999.000000000.jpg",1.036,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:40:19.521978Z"
43005,"10","","2026-01-10T23:15:16.246738Z",1044441,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/182/19/1751396640.000000000.jpg",0.769,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:15:16.246746Z"
41416,"8","","2026-01-09T21:46:32.203618Z",1044443,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/182/21/1751403852.000000000.jpg",4.117,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:46:32.203627Z"
41086,"8","","2026-01-09T21:34:13.367420Z",1044445,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/182/23/1751411099.000000000.jpg",1.389,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:34:13.367439Z"
43300,"10","","2026-01-10T23:25:17.437959Z",1044446,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/183/00/1751414739.000000000.jpg",9.732,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:25:17.437973Z"
41347,"8","","2026-01-09T21:42:13.754919Z",1044454,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/192/08/1752220872.000000000.jpg",4.531,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:42:13.754973Z"
41373,"8","","2026-01-09T21:42:55.633882Z",1044458,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/192/12/1752235318.000000000.jpg",2.268,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:42:55.633894Z"
43479,"9","Abnormal","2026-01-11T05:23:13.380957Z",1044466,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/192/20/1752264236.000000000.jpg",0.954,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-11T05:23:13.380968Z"
42202,"9","Abnormal","2026-01-10T01:17:12.689185Z",1044467,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/192/21/1752267848.000000000.jpg",1.806,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T01:17:12.689212Z"
41206,"8","Abnormal","2026-01-09T21:38:13.989290Z",1044474,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/193/04/1752293161.000000000.jpg",1.229,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:38:13.989302Z"
41494,"8","Abnormal","2026-01-09T21:51:14.883135Z",1044481,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/208/11/1753614137.000000000.jpg",4.538,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:51:14.883169Z"
41283,"8","","2026-01-09T21:40:34.327798Z",1044482,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/208/12/1753617747.000000000.jpg",17.788,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T01:07:08.469217Z"
41508,"8","Abnormal","2026-01-09T21:52:20.259099Z",1044485,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/208/15/1753628580.000000000.jpg",1.569,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:52:20.259106Z"
42905,"10","Abnormal","2026-01-10T23:10:49.812877Z",1044488,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/208/18/1753639403.000000000.jpg",1.035,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:10:49.812895Z"
41503,"8","Abnormal","2026-01-09T21:52:10.093850Z",1044489,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/208/19/1753643016.000000000.jpg",0.854,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-09T21:52:10.093858Z"
43614,"9","Abnormal","2026-01-11T05:29:53.105169Z",1044490,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/208/20/1753646627.000000000.jpg",0.976,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-11T05:29:53.105194Z"
43200,"10","Abnormal","2026-01-10T23:22:17.396333Z",1044491,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/208/21/1753650253.000000000.jpg",1.076,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:22:17.396341Z"
43589,"9","","2026-01-11T05:28:53.971832Z",1044500,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/209/06/1753682751.000000000.jpg",3.441,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-11T05:28:53.971841Z"
43041,"10","","2026-01-10T23:16:20.310281Z",1044501,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/199/07/1752822052.000000000.jpg",0.948,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:16:20.310304Z"
42089,"9","Abnormal","2026-01-10T01:10:35.906338Z",1044503,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/199/09/1752829263.000000000.jpg",1.018,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T01:10:35.906347Z"
42992,"10","Abnormal","2026-01-10T23:14:49.090367Z",1044513,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/199/19/1752865382.000000000.jpg",1.052,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:14:49.090374Z"
43318,"10","Abnormal","2026-01-10T23:25:44.414209Z",1044518,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/200/00/1752883484.000000000.jpg",1.089,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:25:44.414223Z"
42908,"10","Abnormal","2026-01-10T23:11:30.825668Z",1044519,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-MesaGrandeNorth/2025/200/01/1752887118.000000000.jpg",4.276,"{""pan"":317.7699890136719,""tilt"":-0.5799999833106995,""zoom"":1.0}","2026-01-10T23:11:30.825689Z"
