"annotation_id","annotator","choice","created_at","id","image","lead_time","ptz","updated_at"
41041,"11","Abnormal","2026-01-09T21:32:12.400291Z",1052244,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/07/1752562815.000000000.jpg",18.496,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:12.400298Z"
41042,"11","Abnormal","2026-01-09T21:32:22.639714Z",1052245,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/08/1752566421.000000000.jpg",9.698,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:22.639721Z"
41043,"11","","2026-01-09T21:32:24.867148Z",1052246,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/09/1752570028.000000000.jpg",1.725,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:24.867162Z"
41044,"11","","2026-01-09T21:32:27.173531Z",1052247,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/10/1752573649.000000000.jpg",1.851,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:27.173542Z"
41045,"11","","2026-01-09T21:32:29.043906Z",1052248,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/11/1752577252.000000000.jpg",1.469,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:29.043917Z"
41046,"11","Abnormal","2026-01-09T21:32:32.386650Z",1052249,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/12/1752580854.000000000.jpg",2.909,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:32.386663Z"
41047,"11","","2026-01-09T21:32:37.190020Z",1052250,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/13/1752584460.000000000.jpg",4.26,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:37.190032Z"
41048,"11","","2026-01-09T21:32:40.894328Z",1052251,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/14/1752588069.000000000.jpg",3.288,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:40.894345Z"
41049,"11","","2026-01-09T21:32:44.932137Z",1052252,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/15/1752591674.000000000.jpg",3.65,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:44.932149Z"
41050,"11","","2026-01-09T21:32:47.684844Z",1052253,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/16/1752595284.000000000.jpg",2.439,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:47.684852Z"
41051,"11","","2026-01-09T21:32:49.717835Z",1052254,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/17/1752598923.000000000.jpg",1.697,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:49.717843Z"
41052,"11","","2026-01-09T21:32:51.457423Z",1052255,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-PalomarObs1/2025/196/18/1752602528.000000000.jpg",1.187,"{""pan"":122.63999938964844,""tilt"":-0.5,""zoom"":1.0}","2026-01-09T21:32:51.457439Z"
